free_annotation
cell__1	Acinar cells
cell__523	Ductal - CRISP3 high/centroacinar like
cell__524	Ductal - MHC Class II
cell__525	Ductal - terminal ductal like
cell__526	Ductal - CRISP3 high/centroacinar like
cell__527	Ductal - CRISP3 high/centroacinar like
cell__528	Ductal - terminal ductal like
cell__529	Ductal - APOL1 high/hypoxic
cell__530	Cancer clone B
cell__531	Ductal - terminal ductal like
cell__532	Ductal - CRISP3 high/centroacinar like
cell__533	Ductal - CRISP3 high/centroacinar like
cell__534	Ductal - CRISP3 high/centroacinar like
cell__535	Ductal - terminal ductal like
cell__536	Ductal - APOL1 high/hypoxic
cell__537	Ductal - CRISP3 high/centroacinar like
cell__538	Ductal - CRISP3 high/centroacinar like
cell__539	Ductal - MHC Class II
cell__540	Ductal - terminal ductal like
cell__541	Cancer clone A
cell__542	Cancer clone B
cell__543	Cancer clone B
cell__544	mDCs A
cell__545	Ductal - APOL1 high/hypoxic
cell__546	Ductal - terminal ductal like
cell__547	Ductal - CRISP3 high/centroacinar like
cell__548	Ductal - terminal ductal like
cell__549	Ductal - MHC Class II
cell__550	Ductal - MHC Class II
cell__551	Ductal - MHC Class II
cell__552	Ductal - CRISP3 high/centroacinar like
cell__553	Ductal - terminal ductal like
cell__554	Ductal - terminal ductal like
cell__555	Ductal - MHC Class II
cell__556	Ductal - CRISP3 high/centroacinar like
cell__557	Ductal - APOL1 high/hypoxic
cell__558	Ductal - terminal ductal like
cell__559	Ductal - MHC Class II
cell__560	Ductal - MHC Class II
cell__561	Cancer clone B
cell__562	Ductal - APOL1 high/hypoxic
cell__563	Ductal - CRISP3 high/centroacinar like
cell__564	Ductal - terminal ductal like
cell__565	Ductal - terminal ductal like
cell__566	Ductal - MHC Class II
cell__567	Cancer clone A
cell__568	Ductal - APOL1 high/hypoxic
cell__569	Ductal - terminal ductal like
cell__570	Tuft cells
cell__571	Cancer clone A
cell__572	Ductal - APOL1 high/hypoxic
cell__573	Tuft cells
cell__574	Ductal - MHC Class II
cell__575	Ductal - terminal ductal like
cell__576	Tuft cells
cell__577	Ductal - CRISP3 high/centroacinar like
cell__578	Ductal - APOL1 high/hypoxic
cell__579	Cancer clone A
cell__580	Ductal - CRISP3 high/centroacinar like
cell__581	Ductal - terminal ductal like
cell__582	Ductal - APOL1 high/hypoxic
cell__583	Ductal - MHC Class II
cell__584	Ductal - CRISP3 high/centroacinar like
cell__585	Ductal - APOL1 high/hypoxic
cell__586	Macrophages B
cell__587	Ductal - CRISP3 high/centroacinar like
cell__588	Ductal - CRISP3 high/centroacinar like
cell__589	Ductal - MHC Class II
cell__590	Cancer clone B
cell__591	Ductal - CRISP3 high/centroacinar like
cell__592	Ductal - CRISP3 high/centroacinar like
cell__593	Ductal - CRISP3 high/centroacinar like
cell__594	Ductal - MHC Class II
cell__595	Ductal - terminal ductal like
cell__596	Ductal - MHC Class II
cell__597	Cancer clone B
cell__598	Ductal - CRISP3 high/centroacinar like
cell__599	Cancer clone A
cell__600	Cancer clone B
cell__601	Ductal - terminal ductal like
cell__602	Ductal - MHC Class II
cell__603	Ductal - MHC Class II
cell__604	mDCs B
cell__605	Ductal - APOL1 high/hypoxic
cell__606	mDCs B
cell__607	Ductal - CRISP3 high/centroacinar like
cell__608	T cells & NK cells
cell__609	Cancer clone A
cell__610	Ductal - CRISP3 high/centroacinar like
cell__611	Macrophages A
cell__612	Ductal - CRISP3 high/centroacinar like
cell__613	Ductal - MHC Class II
cell__614	Ductal - terminal ductal like
cell__615	Ductal - terminal ductal like
cell__616	Macrophages A
cell__617	Ductal - MHC Class II
cell__618	Ductal - MHC Class II
cell__619	Ductal - CRISP3 high/centroacinar like
cell__620	Ductal - APOL1 high/hypoxic
cell__621	Ductal - terminal ductal like
cell__622	Ductal - CRISP3 high/centroacinar like
cell__623	Ductal - terminal ductal like
cell__624	Ductal - CRISP3 high/centroacinar like
cell__625	Ductal - terminal ductal like
cell__626	Cancer clone A
cell__627	Monocytes
cell__628	Ductal - CRISP3 high/centroacinar like
cell__629	Ductal - terminal ductal like
cell__630	Ductal - terminal ductal like
cell__631	Cancer clone B
cell__632	Ductal - CRISP3 high/centroacinar like
cell__633	Ductal - CRISP3 high/centroacinar like
cell__634	Ductal - CRISP3 high/centroacinar like
cell__635	Ductal - CRISP3 high/centroacinar like
cell__636	Ductal - CRISP3 high/centroacinar like
cell__637	Ductal - APOL1 high/hypoxic
cell__638	Ductal - CRISP3 high/centroacinar like
cell__639	Macrophages A
cell__640	Ductal - terminal ductal like
cell__641	Ductal - terminal ductal like
cell__642	Ductal - MHC Class II
cell__643	Ductal - terminal ductal like
cell__644	Cancer clone A
